Booking ID,Customer ID,Booking Date,Check-in Date,Check-out Date,Booking Platform,Payment Method,Loyalty Membership Status,Room Type,Booking Amount,Discount Applied,Cancellation Status
BK00001,CUST2856,2024-01-30,2024-02-22,2024-02-29,Website,Credit Card,Non-Member,Standard,510.03,5,Yes
BK00002,CUST5751,2024-01-17,2024-01-20,2024-01-27,Mobile App,Bank Transfer,Ambassador,Suite,699.68,25,No
BK00003,CUST4045,2024-03-08,2024-03-21,2024-03-26,Mobile App,Credit Card,Titanium,Deluxe,392.16,15,No
BK00004,CUST5384,2024-02-13,2024-03-08,2024-03-14,Website,PayPal,Platinum,Deluxe,363.17,25,No
BK00005,CUST8257,2024-03-19,2024-03-26,2024-03-31,Website,Points Redemption,Ambassador,Suite,155.36,20,No
BK00006,CUST6040,2024-03-20,2024-03-26,2024-03-30,Mobile App,Points Redemption,Gold,Standard,1000.69,20,No
BK00007,CUST9555,2024-02-23,2024-03-11,2024-03-17,Website,Bank Transfer,Ambassador,Deluxe,940.72,25,Yes
BK00008,CUST1235,2024-02-02,2024-02-29,2024-03-06,Website,Points Redemption,Platinum,Suite,1465.74,5,No
BK00009,CUST9997,2024-03-06,2024-03-11,2024-03-16,Third-Party OTA,Bank Transfer,Ambassador,Suite,147.96,10,No
BK00010,CUST3135,2024-01-19,2024-01-22,2024-01-29,Mobile App,Credit Card,Titanium,Presidential Suite,974.93,10,No
BK00011,CUST5878,2024-01-02,2024-01-21,2024-01-23,Mobile App,Credit Card,Titanium,Presidential Suite,427.16,10,No
BK00012,CUST4210,2024-03-03,2024-03-16,2024-03-19,Third-Party OTA,PayPal,Titanium,Deluxe,1092.81,25,Yes
BK00013,CUST7116,2024-03-30,2024-04-10,2024-04-19,Website,PayPal,Silver,Standard,898.9,5,Yes
BK00014,CUST6839,2024-01-04,2024-01-31,2024-02-06,Third-Party OTA,Bank Transfer,Gold,Presidential Suite,393.0,20,Yes
BK00015,CUST6066,2024-01-09,2024-01-28,2024-02-02,Third-Party OTA,Credit Card,Titanium,Suite,1135.62,10,No
BK00016,CUST4688,2024-02-26,2024-03-13,2024-03-20,Third-Party OTA,PayPal,Ambassador,Suite,573.47,25,Yes
BK00017,CUST8331,2024-02-17,2024-03-05,2024-03-14,Website,Credit Card,Gold,Deluxe,549.49,5,No
BK00018,CUST1537,2024-02-09,2024-03-10,2024-03-13,Website,Bank Transfer,Platinum,Presidential Suite,350.77,15,Yes
BK00019,CUST3551,2024-03-21,2024-04-03,2024-04-09,Third-Party OTA,Credit Card,Gold,Standard,617.07,5,Yes
BK00020,CUST6838,2024-02-20,2024-03-05,2024-03-10,Third-Party OTA,Credit Card,Titanium,Suite,591.61,25,Yes
BK00021,CUST9647,2024-01-29,2024-02-07,2024-02-15,Website,Credit Card,Platinum,Presidential Suite,1295.23,25,No
BK00022,CUST7864,2024-02-17,2024-02-24,2024-02-29,Mobile App,Points Redemption,Ambassador,Suite,1292.31,25,Yes
BK00023,CUST3704,2024-03-13,2024-04-05,2024-04-14,Mobile App,Points Redemption,Gold,Standard,1264.22,0,No
BK00024,CUST9160,2024-03-15,2024-03-29,2024-04-07,Website,Bank Transfer,Titanium,Presidential Suite,850.96,25,No
BK00025,CUST3191,2024-03-25,2024-04-18,2024-04-22,Website,Credit Card,Platinum,Standard,1161.21,20,Yes
BK00026,CUST5834,2024-01-02,2024-01-28,2024-02-06,Third-Party OTA,PayPal,Silver,Deluxe,450.89,20,Yes
BK00027,CUST7773,2024-02-17,2024-03-08,2024-03-11,Third-Party OTA,Bank Transfer,Silver,Presidential Suite,360.16,10,No
BK00028,CUST6510,2024-01-19,2024-02-05,2024-02-12,Mobile App,Bank Transfer,Non-Member,Standard,204.65,15,No
BK00029,CUST8683,2024-02-01,2024-02-19,2024-02-21,Third-Party OTA,Credit Card,Titanium,Standard,1369.05,20,Yes
BK00030,CUST4001,2024-02-18,2024-03-02,2024-03-03,Third-Party OTA,Bank Transfer,Platinum,Presidential Suite,1204.22,15,No
BK00031,CUST7967,2024-02-07,2024-02-16,2024-02-26,Third-Party OTA,PayPal,Non-Member,Deluxe,1071.95,15,Yes
BK00032,CUST9253,2024-01-03,2024-01-10,2024-01-15,Mobile App,Bank Transfer,Ambassador,Suite,905.08,0,No
BK00033,CUST9894,2024-01-28,2024-02-09,2024-02-17,Third-Party OTA,PayPal,Silver,Presidential Suite,761.26,0,Yes
BK00034,CUST4276,2024-01-20,2024-02-14,2024-02-15,Third-Party OTA,Bank Transfer,Silver,Standard,1449.36,15,Yes
BK00035,CUST9471,2024-03-03,2024-03-07,2024-03-10,Third-Party OTA,Bank Transfer,Non-Member,Suite,999.97,0,Yes
BK00036,CUST6880,2024-03-16,2024-04-05,2024-04-08,Third-Party OTA,Points Redemption,Silver,Standard,1191.07,20,No
BK00037,CUST1296,2024-03-08,2024-04-06,2024-04-11,Third-Party OTA,Bank Transfer,Platinum,Deluxe,1266.65,10,No
BK00038,CUST2933,2024-01-23,2024-02-11,2024-02-13,Website,PayPal,Non-Member,Deluxe,516.05,10,No
BK00039,CUST4129,2024-02-12,2024-02-17,2024-02-22,Website,PayPal,Platinum,Suite,746.54,5,Yes
BK00040,CUST3261,2024-03-15,2024-03-18,2024-03-27,Website,Credit Card,Non-Member,Standard,121.61,10,No
BK00041,CUST1316,2024-02-14,2024-03-07,2024-03-08,Third-Party OTA,Credit Card,Platinum,Standard,782.33,10,Yes
BK00042,CUST1844,2024-03-31,2024-04-24,2024-04-27,Third-Party OTA,Bank Transfer,Ambassador,Deluxe,599.15,10,Yes
BK00043,CUST2374,2024-02-13,2024-03-06,2024-03-07,Mobile App,Bank Transfer,Silver,Suite,1166.56,5,No
BK00044,CUST8494,2024-02-15,2024-03-07,2024-03-13,Mobile App,Points Redemption,Ambassador,Standard,1331.55,20,Yes
BK00045,CUST6332,2024-01-13,2024-01-15,2024-01-25,Third-Party OTA,PayPal,Silver,Presidential Suite,398.72,0,No
BK00046,CUST1190,2024-01-30,2024-02-23,2024-02-27,Website,Points Redemption,Gold,Presidential Suite,1137.07,0,Yes
